Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
850,1.0,0.8141,0.1018,0.1809,1.0,692
1700,2.0,0.8006,0.2001,0.3202,1.0,1361
2550,3.0,0.7929,0.2974,0.4325,1.0,2022
3400,4.0,0.7924,0.3962,0.5282,1.0,2694
4250,5.0,0.7972,0.4982,0.6132,1.0,3388
5100,6.0,0.7976,0.5982,0.6837,1.0,4068
5950,7.0,0.7948,0.6954,0.7418,1.0,4729
6800,8.0,0.7966,0.7966,0.7966,1.0,5417
7650,9.0,0.7988,0.8987,0.8458,1.0,6111
8500,10.0,0.7996,0.9996,0.8885,1.0,6797
12750,15.0,0.5333,1.0,0.6957,1.0,6800
17000,20.0,0.4,1.0,0.5714,1.0,6800
21250,25.0,0.32,1.0,0.4848,1.0,6800
25500,30.0,0.2667,1.0,0.4211,1.0,6800
29750,35.0,0.2286,1.0,0.3721,1.0,6800
34000,40.0,0.2,1.0,0.3333,1.0,6800
38250,45.0,0.1778,1.0,0.3019,1.0,6800
42500,50.0,0.16,1.0,0.2759,1.0,6800
51000,60.0,0.1333,1.0,0.2353,1.0,6800
59500,70.0,0.1143,1.0,0.2051,1.0,6800
68000,80.0,0.1,1.0,0.1818,1.0,6800
76500,90.0,0.0889,1.0,0.1633,1.0,6800
85000,100.0,0.08,1.0,0.1481,1.0,6800
