Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
700,1.0,0.7886,0.1164,0.2028,0.9546,552
1400,2.0,0.795,0.2347,0.3624,0.9546,1113
2100,3.0,0.7881,0.3489,0.4837,0.9546,1655
2800,4.0,0.7693,0.4541,0.5711,0.9546,2154
3500,5.0,0.7443,0.5492,0.6321,0.9546,2605
4200,6.0,0.7171,0.635,0.6736,0.9546,3012
4900,7.0,0.6859,0.7086,0.6971,0.9546,3361
5600,8.0,0.6446,0.7611,0.6981,0.9546,3610
6300,9.0,0.6016,0.7991,0.6864,0.9546,3790
7000,10.0,0.5626,0.8303,0.6707,0.9546,3938
10500,15.0,0.4055,0.8977,0.5587,0.9546,4258
14000,20.0,0.3139,0.9264,0.4689,0.9546,4394
17500,25.0,0.2545,0.9389,0.4004,0.9546,4453
21000,30.0,0.2143,0.9488,0.3496,0.9546,4500
24500,35.0,0.1845,0.953,0.3091,0.9546,4520
28000,40.0,0.1621,0.957,0.2773,0.9546,4539
31500,45.0,0.1448,0.9614,0.2516,0.9546,4560
35000,50.0,0.1308,0.9654,0.2304,0.9546,4579
42000,60.0,0.1098,0.972,0.1972,0.9546,4610
49000,70.0,0.0948,0.9791,0.1728,0.9546,4644
56000,80.0,0.0836,0.9869,0.1541,0.9546,4681
63000,90.0,0.0747,0.9924,0.139,0.9546,4707
70000,100.0,0.0678,1.0,0.1269,0.9546,4743
