Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.9967889785766602,1,1,unlabeled
1,0.9980003237724304,1,1,train
2,0.02004340849816799,0,0,unlabeled
3,0.0071035111322999,0,0,train
4,0.0024181620683521032,0,0,unlabeled
5,1.0,1,1,unlabeled
6,0.9999862909317017,1,1,unlabeled
7,0.29801949858665466,0,0,unlabeled
8,0.9987962245941162,1,1,unlabeled
9,0.027458783239126205,0,0,val
10,0.01685904711484909,0,0,unlabeled
11,0.004242801573127508,0,0,unlabeled
12,0.00037100326153449714,0,0,train
13,0.051507264375686646,0,0,unlabeled
14,0.01836472563445568,0,0,unlabeled
15,0.014272746630012989,0,0,unlabeled
16,0.007987231016159058,0,0,train
17,0.010804200544953346,0,0,unlabeled
18,0.003622697200626135,0,0,train
19,0.013120641000568867,0,0,unlabeled
20,0.001566786551848054,0,0,unlabeled
21,1.0,1,1,unlabeled
22,0.0019406750798225403,0,0,unlabeled
23,0.04563333839178085,0,0,unlabeled
24,0.011928299441933632,0,0,unlabeled
25,0.02325291931629181,0,0,unlabeled
26,0.8305593729019165,1,1,unlabeled
27,0.014344288967549801,0,0,unlabeled
28,0.07056514918804169,0,0,unlabeled
29,0.005482148844748735,0,0,unlabeled
30,0.0060455990023911,0,0,train
31,0.04215952381491661,0,0,unlabeled
32,1.0,1,1,unlabeled
33,0.014436055906116962,0,0,unlabeled
34,0.00800350122153759,0,0,unlabeled
35,0.021042272448539734,0,0,unlabeled
36,0.9765716791152954,1,1,unlabeled
37,0.0014446669956669211,0,0,unlabeled
38,0.005061398260295391,0,0,unlabeled
39,0.008923124521970749,0,0,unlabeled
40,0.0032810859847813845,0,0,unlabeled
41,0.0065739392302930355,0,0,unlabeled
42,0.9999278783798218,1,1,train
43,0.007161324378103018,0,0,unlabeled
44,1.0,1,1,unlabeled
45,0.006336207035928965,0,0,unlabeled
46,0.0008544339798390865,0,0,unlabeled
47,0.0024679771158844233,0,0,unlabeled
48,0.8585140705108643,1,1,unlabeled
49,0.02298392914235592,0,0,unlabeled
50,0.0006968231173232198,0,0,unlabeled
51,0.9373394846916199,1,1,train
52,0.010924145579338074,0,0,unlabeled
53,0.0012341176625341177,0,0,train
54,0.005821924190968275,0,0,unlabeled
55,0.0033605110365897417,0,0,unlabeled
56,0.005463693290948868,0,0,unlabeled
57,0.0026601385325193405,0,0,unlabeled
58,1.0,1,1,unlabeled
59,0.9999994039535522,1,1,unlabeled
60,0.006322448141872883,0,0,unlabeled
61,0.002666137646883726,0,0,unlabeled
62,0.0038374769501388073,0,0,unlabeled
63,0.0015971778193488717,0,0,unlabeled
64,0.9866429567337036,1,1,unlabeled
65,0.9999953508377075,1,1,unlabeled
66,0.005921770818531513,0,0,val
67,0.005225085653364658,0,0,unlabeled
68,0.007234798278659582,0,0,unlabeled
69,0.003661613678559661,0,0,train
70,0.2143600583076477,0,0,unlabeled
71,0.007373136468231678,0,0,unlabeled
72,0.0015984716592356563,0,0,unlabeled
73,0.0028480307664722204,0,0,unlabeled
74,0.004955939017236233,0,0,unlabeled
75,0.9999384880065918,1,1,unlabeled
76,0.0014933506026864052,0,0,unlabeled
77,0.0013722823932766914,0,0,unlabeled
78,0.9999105930328369,1,1,unlabeled
79,0.0028311724308878183,0,0,unlabeled
80,0.00485171377658844,0,0,train
81,0.0005671921535395086,0,0,unlabeled
82,0.0006222174852155149,0,0,unlabeled
83,0.0012058417778462172,0,0,unlabeled
84,0.013745952397584915,0,0,unlabeled
85,0.00509947445243597,0,0,unlabeled
86,0.010747535154223442,0,0,unlabeled
87,0.015267973765730858,0,0,unlabeled
88,0.0036524920724332333,0,0,unlabeled
89,0.016723856329917908,0,0,train
90,0.0011110207997262478,0,0,train
91,0.016524534672498703,0,0,unlabeled
92,0.0006292666075751185,0,0,unlabeled
93,0.0015727827558293939,0,0,unlabeled
94,0.0301426500082016,0,0,train
95,0.003794698975980282,0,0,unlabeled
96,0.0028048227541148663,0,0,unlabeled
97,0.9888442158699036,1,1,unlabeled
98,0.08509822934865952,0,0,unlabeled
99,0.004671958275139332,0,0,unlabeled
100,0.0013013199204578996,0,0,unlabeled
101,0.003734719241037965,0,0,unlabeled
