Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
580,1.0,0.8086,0.0472,0.0892,0.9961,469
1160,2.0,0.8034,0.0938,0.1681,0.9961,932
1740,3.0,0.8006,0.1403,0.2387,0.9961,1393
2320,4.0,0.7935,0.1854,0.3005,0.9961,1841
2900,5.0,0.8003,0.2337,0.3618,0.9961,2321
3480,6.0,0.7963,0.279,0.4132,0.9961,2771
4060,7.0,0.7963,0.3255,0.4622,0.9961,3233
4640,8.0,0.7955,0.3717,0.5066,0.9961,3691
5220,9.0,0.7952,0.418,0.548,0.9961,4151
5800,10.0,0.7962,0.465,0.5871,0.9961,4618
8700,15.0,0.7999,0.7007,0.747,0.9961,6959
11600,20.0,0.7951,0.9287,0.8567,0.9961,9223
14500,25.0,0.6806,0.9937,0.8078,0.9961,9868
17400,30.0,0.5673,0.994,0.7223,0.9961,9871
20300,35.0,0.4864,0.9943,0.6532,0.9961,9874
23200,40.0,0.4257,0.9945,0.5962,0.9961,9876
26100,45.0,0.3786,0.9951,0.5485,0.9961,9882
29000,50.0,0.3409,0.9955,0.5079,0.9961,9886
34800,60.0,0.2844,0.9967,0.4426,0.9961,9898
40600,70.0,0.2441,0.9978,0.3922,0.9961,9909
46400,80.0,0.2136,0.9982,0.352,0.9961,9913
52200,90.0,0.19,0.9985,0.3192,0.9961,9916
58000,100.0,0.1712,1.0,0.2924,0.9961,9931
