Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
700,1.0,0.7729,0.1141,0.1988,0.9629,541
1400,2.0,0.7907,0.2334,0.3604,0.9629,1107
2100,3.0,0.7995,0.354,0.4907,0.9629,1679
2800,4.0,0.7943,0.4689,0.5897,0.9629,2224
3500,5.0,0.79,0.583,0.6709,0.9629,2765
4200,6.0,0.7712,0.6829,0.7244,0.9629,3239
4900,7.0,0.7384,0.7628,0.7504,0.9629,3618
5600,8.0,0.6971,0.8231,0.7549,0.9629,3904
6300,9.0,0.6476,0.8602,0.7389,0.9629,4080
7000,10.0,0.5971,0.8813,0.7119,0.9629,4180
10500,15.0,0.417,0.923,0.5744,0.9629,4378
14000,20.0,0.3178,0.938,0.4747,0.9629,4449
17500,25.0,0.2566,0.9469,0.4038,0.9629,4491
21000,30.0,0.215,0.9517,0.3507,0.9629,4514
24500,35.0,0.1851,0.9561,0.3102,0.9629,4535
28000,40.0,0.1626,0.9602,0.2782,0.9629,4554
31500,45.0,0.145,0.9629,0.252,0.9629,4567
35000,50.0,0.1309,0.9661,0.2306,0.9629,4582
42000,60.0,0.1101,0.9747,0.1978,0.9629,4623
49000,70.0,0.0949,0.9808,0.1731,0.9629,4652
56000,80.0,0.0836,0.9876,0.1542,0.9629,4684
63000,90.0,0.0748,0.9939,0.1392,0.9629,4714
70000,100.0,0.0678,1.0,0.1269,0.9629,4743
