Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.658833920955658,0,0,unlabeled
1,0.5969353914260864,0,0,unlabeled
2,0.7308526635169983,1,0,unlabeled
3,0.7334311008453369,1,0,unlabeled
4,0.6245405077934265,0,0,train
5,0.6863408088684082,1,0,unlabeled
6,0.6260266304016113,0,1,unlabeled
7,0.6738004088401794,1,0,train
8,0.6221415400505066,0,0,train
9,0.6756963133811951,1,0,unlabeled
10,0.5615268349647522,0,0,unlabeled
11,0.6420049071311951,0,0,unlabeled
12,0.6371760964393616,0,0,unlabeled
13,0.6852182745933533,1,0,unlabeled
14,0.7188119888305664,1,0,unlabeled
15,0.7586479783058167,1,0,unlabeled
16,0.5465294122695923,0,0,unlabeled
17,0.6570941209793091,0,0,unlabeled
18,0.7156352996826172,1,0,unlabeled
19,0.7660602331161499,1,0,unlabeled
20,0.8270920515060425,1,0,unlabeled
21,0.8064426183700562,1,0,unlabeled
22,0.789609968662262,1,0,unlabeled
23,0.7854449152946472,1,1,train
24,0.6115204691886902,0,0,unlabeled
25,0.22782793641090393,0,0,unlabeled
26,0.15950457751750946,0,0,unlabeled
27,0.30999329686164856,0,0,unlabeled
28,0.2695329785346985,0,0,unlabeled
29,0.24174679815769196,0,0,unlabeled
30,0.2448740154504776,0,0,unlabeled
31,0.45646947622299194,0,0,unlabeled
32,0.33950120210647583,0,1,train
33,0.49324333667755127,0,0,unlabeled
34,0.5563361048698425,0,0,unlabeled
35,0.41019192337989807,0,0,train
36,0.5588768720626831,0,0,unlabeled
37,0.3542318642139435,0,0,train
38,0.40335750579833984,0,0,val
39,0.41574761271476746,0,0,unlabeled
40,0.48825421929359436,0,1,unlabeled
41,0.4223974347114563,0,0,unlabeled
42,0.45795878767967224,0,1,unlabeled
43,0.3809507191181183,0,0,unlabeled
44,0.48044708371162415,0,0,train
45,0.38586679100990295,0,0,val
46,0.43946629762649536,0,0,train
47,0.4927288293838501,0,0,unlabeled
48,0.3753829002380371,0,0,unlabeled
49,0.4157949686050415,0,0,unlabeled
50,0.5850845575332642,0,0,unlabeled
51,0.5616128444671631,0,1,unlabeled
52,0.3970694839954376,0,0,unlabeled
53,0.41069647669792175,0,0,unlabeled
54,0.3846852481365204,0,0,unlabeled
55,0.5227189064025879,0,0,unlabeled
56,0.3697502911090851,0,0,unlabeled
57,0.3937222361564636,0,0,unlabeled
58,0.18011127412319183,0,0,unlabeled
59,0.7748156189918518,1,0,unlabeled
60,0.8139989972114563,1,0,train
61,0.7915521860122681,1,0,unlabeled
62,0.8059973120689392,1,1,unlabeled
63,0.5554230213165283,0,0,unlabeled
64,0.5889941453933716,0,0,unlabeled
65,0.6369131803512573,0,1,unlabeled
66,0.6344974637031555,0,0,unlabeled
67,0.6322153210639954,0,0,unlabeled
68,0.20363640785217285,0,0,unlabeled
69,0.521239697933197,0,0,unlabeled
70,0.5369106531143188,0,0,train
71,0.5893591642379761,0,0,unlabeled
72,0.7002260684967041,1,0,unlabeled
73,0.5397970676422119,0,0,unlabeled
74,0.6780723333358765,1,0,unlabeled
75,0.5915095806121826,0,0,unlabeled
76,0.6083434820175171,0,0,unlabeled
77,0.5987396240234375,0,0,unlabeled
78,0.6238919496536255,0,0,train
79,0.49920737743377686,0,0,train
80,0.3045211732387543,0,0,unlabeled
81,0.49697428941726685,0,0,unlabeled
82,0.5443211197853088,0,0,unlabeled
83,0.5508129000663757,0,1,unlabeled
84,0.6066743731498718,0,1,train
85,0.5406774282455444,0,1,train
86,0.626298725605011,0,1,unlabeled
87,0.5699904561042786,0,0,unlabeled
88,0.5587428212165833,0,0,unlabeled
89,0.32007157802581787,0,0,unlabeled
90,0.6558970212936401,0,0,unlabeled
91,0.7454433441162109,1,0,unlabeled
92,0.4509575664997101,0,0,train
93,0.28751134872436523,0,0,unlabeled
94,0.3889443278312683,0,0,unlabeled
95,0.1711127609014511,0,0,unlabeled
96,0.22646275162696838,0,0,unlabeled
97,0.44895508885383606,0,0,unlabeled
98,0.36426055431365967,0,0,val
99,0.45332786440849304,0,0,unlabeled
100,0.16137583553791046,0,0,unlabeled
101,0.3321813941001892,0,0,unlabeled
102,0.6775230765342712,1,0,unlabeled
103,0.5078955888748169,0,0,unlabeled
104,0.6578692197799683,0,0,unlabeled
105,0.6193650960922241,0,0,unlabeled
106,0.6285581588745117,0,1,unlabeled
107,0.4803465008735657,0,0,unlabeled
108,0.4396085739135742,0,1,unlabeled
109,0.3292236626148224,0,0,train
110,0.2019096314907074,0,0,unlabeled
111,0.5930586457252502,0,0,unlabeled
112,0.6665607690811157,0,0,train
113,0.7513117790222168,1,0,unlabeled
114,0.746341347694397,1,0,unlabeled
115,0.6945638060569763,1,0,unlabeled
116,0.6788983345031738,1,0,unlabeled
117,0.5279923677444458,0,0,val
118,0.21749450266361237,0,0,unlabeled
119,0.10011762380599976,0,0,unlabeled
120,0.16172544658184052,0,0,unlabeled
121,0.12562625110149384,0,0,unlabeled
122,0.09056175500154495,0,0,val
123,0.1110200583934784,0,0,train
124,0.3608996570110321,0,0,train
125,0.40985703468322754,0,0,unlabeled
126,0.5957669019699097,0,0,unlabeled
127,0.23777452111244202,0,0,unlabeled
128,0.3220798671245575,0,0,val
129,0.3143949806690216,0,0,unlabeled
130,0.2693459689617157,0,0,unlabeled
131,0.19062213599681854,0,0,unlabeled
132,0.22096212208271027,0,0,unlabeled
