Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
675,1.0,0.3185,0.0417,0.0737,0.7599,215
1351,2.0,0.2887,0.0756,0.1198,0.7599,390
2026,3.0,0.2784,0.1093,0.157,0.7599,564
2702,4.0,0.2665,0.1396,0.1832,0.7599,720
3377,5.0,0.257,0.1682,0.2034,0.7599,868
4053,6.0,0.2485,0.1952,0.2186,0.7599,1007
4728,7.0,0.2411,0.221,0.2306,0.7599,1140
5404,8.0,0.2363,0.2475,0.2418,0.7599,1277
6080,9.0,0.2317,0.2731,0.2507,0.7599,1409
6755,10.0,0.2253,0.295,0.2555,0.7599,1522
10133,15.0,0.2039,0.4005,0.2702,0.7599,2066
13511,20.0,0.1903,0.4984,0.2754,0.7599,2571
16889,25.0,0.1747,0.5718,0.2676,0.7599,2950
20267,30.0,0.1621,0.6368,0.2584,0.7599,3285
23644,35.0,0.1525,0.6988,0.2503,0.7599,3605
27022,40.0,0.1436,0.7523,0.2412,0.7599,3881
30400,45.0,0.1356,0.7988,0.2318,0.7599,4121
33778,50.0,0.1274,0.8339,0.221,0.7599,4302
40534,60.0,0.114,0.8953,0.2022,0.7599,4619
47289,70.0,0.1028,0.942,0.1853,0.7599,4860
54045,80.0,0.0929,0.9736,0.1697,0.7599,5023
60801,90.0,0.0844,0.9952,0.1557,0.7599,5134
67557,100.0,0.0764,1.0,0.1419,0.7599,5159
