Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.04180809110403061,0,0,unlabeled
1,0.09906312823295593,0,0,unlabeled
2,0.06551682204008102,0,0,unlabeled
3,0.5471696257591248,0,0,unlabeled
4,0.31286951899528503,0,0,val
5,0.9907200336456299,1,1,unlabeled
6,0.013147006742656231,0,0,unlabeled
7,0.8398343324661255,1,1,unlabeled
8,0.5692878365516663,0,1,train
9,0.13560618460178375,0,0,train
10,0.09755439311265945,0,0,unlabeled
11,0.05617789924144745,0,0,unlabeled
12,0.021603422239422798,0,0,unlabeled
13,0.17465242743492126,0,0,unlabeled
14,0.029847724363207817,0,0,unlabeled
15,0.38436612486839294,0,0,unlabeled
16,0.12436553835868835,0,0,unlabeled
17,0.7612202763557434,0,0,unlabeled
18,0.13880497217178345,0,0,unlabeled
19,0.1334310919046402,0,0,unlabeled
20,0.07250377535820007,0,0,unlabeled
21,0.08900468051433563,0,0,unlabeled
22,0.011084478348493576,0,0,unlabeled
23,0.4959028959274292,0,0,unlabeled
24,0.04446616396307945,0,0,unlabeled
25,0.06806417554616928,0,0,unlabeled
26,0.0024969663936644793,0,0,unlabeled
27,0.22980614006519318,0,0,unlabeled
28,0.14043909311294556,0,0,unlabeled
29,0.05954674258828163,0,0,unlabeled
30,0.9319219589233398,1,0,unlabeled
31,0.018316006287932396,0,0,unlabeled
32,0.18260495364665985,0,0,unlabeled
33,0.6906265020370483,0,0,unlabeled
34,0.9838600158691406,1,1,unlabeled
35,0.04170205071568489,0,0,unlabeled
36,0.9164510369300842,1,0,train
37,0.16453127562999725,0,0,unlabeled
38,0.0956815555691719,0,0,train
39,0.8712945580482483,1,1,unlabeled
40,0.07279759645462036,0,0,train
41,0.078070268034935,0,0,unlabeled
42,0.02140066586434841,0,0,unlabeled
43,0.09991306066513062,0,0,unlabeled
44,0.07017141580581665,0,0,val
45,0.31069135665893555,0,0,unlabeled
46,0.08048439770936966,0,0,train
47,0.0762047991156578,0,0,unlabeled
48,0.0028733639046549797,0,0,unlabeled
49,0.9855395555496216,1,1,unlabeled
50,0.982560932636261,1,1,unlabeled
51,0.5112413763999939,0,0,unlabeled
52,0.12026185542345047,0,0,unlabeled
53,0.10049475729465485,0,1,unlabeled
54,0.152444526553154,0,0,unlabeled
55,0.006354558747261763,0,0,unlabeled
56,0.11321388185024261,0,0,unlabeled
57,0.136019766330719,0,0,unlabeled
58,0.16453681886196136,0,0,unlabeled
59,0.04518154636025429,0,0,unlabeled
60,0.6167334318161011,0,0,train
61,0.10711674392223358,0,0,unlabeled
62,0.9817904233932495,1,1,unlabeled
63,0.06594281643629074,0,0,train
64,0.019948430359363556,0,0,unlabeled
65,0.818155825138092,1,0,unlabeled
