algorithm,dataset,Precision,Recall,F1-Score,AUC
ADFNR,adult,0.0791,1.0,0.1466,0.4851
ADFNR,bank-full,0.1213,0.7148,0.2074,0.6052
ADFNR,banknote,0.3679,0.3545,0.3611,0.7063
ADFNR,breast-cancer,0.8542,1.0,0.9213,0.9975
ADFNR,car,0.0775,1.0,0.1439,0.5
ADFNR,chess,0.3848,0.8329,0.5264,0.8302
ADFNR,cmc,0.4446,0.9571,0.6072,0.6099
ADFNR,credit,0.3788,0.7812,0.5102,0.6736
ADFNR,dermatology,0.2278,0.8889,0.3626,0.4196
ADFNR,diabetes,0.2793,1.0,0.4367,0.7385
ADFNR,german,0.1856,0.36,0.2449,0.5821
ADFNR,glass,0.2561,0.5385,0.3471,0.5895
ADFNR,hcv_v2,0.6809,0.7805,0.7273,0.941
ADFNR,heart,0.5433,0.8129,0.6513,0.6567
ADFNR,horse,0.4432,0.8283,0.5775,0.6948
ADFNR,ilpd,0.7192,0.9976,0.8359,0.5392
ADFNR,iris,0.9091,1.0,0.9524,0.9985
ADFNR,kr_vs_kp,0.4843,0.983,0.6489,0.5781
ADFNR,mammographic_mass,0.4631,1.0,0.633,0.3614
ADFNR,mushroom,0.1375,0.7547,0.2326,0.5959
ADFNR,nursery,0.0255,1.0,0.0497,0.5
ADFNR,parkinsons,0.4375,0.4375,0.4375,0.5903
ADFNR,raisin,0.5667,0.425,0.4857,0.8578
ADFNR,statlog_australian_v2,0.5551,1.0,0.7139,0.4187
ADFNR,student-mat,0.1471,0.3448,0.2062,0.643
ADFNR,wine,0.5185,0.9333,0.6667,0.9005
ADFNR,wine-red,0.0878,0.5432,0.1512,0.6352
ADFNR,wine-white,0.1731,0.2837,0.215,0.6469
ADFNR,yeast,0.4167,1.0,0.5882,0.9982
ADFNR,zoo,0.3333,0.4118,0.3684,0.5343
GCN,adult,0.3501,0.4839,0.4062,0.8695
GCN,bank-full,0.2892,0.5079,0.3686,0.8302
GCN,banknote,1.0,0.4091,0.5806,0.9974
GCN,breast-cancer,0.7805,0.9697,0.8649,0.9943
GCN,car,0.8922,0.8505,0.8708,0.9942
GCN,chess,0.9481,0.6569,0.7761,0.9672
GCN,cmc,0.5198,0.7316,0.6078,0.6771
GCN,credit,0.8333,0.5882,0.6897,0.8979
GCN,dermatology,1.0,0.9655,0.9825,1.0
GCN,diabetes,0.9286,0.325,0.4815,0.9889
GCN,german,0.2048,0.425,0.2764,0.6468
GCN,glass,0.3372,0.9355,0.4957,0.8138
GCN,hcv_v2,0.8657,0.8788,0.8722,0.9858
GCN,heart,0.6076,0.8649,0.7138,0.792
GCN,horse,0.3766,0.7342,0.4979,0.6293
GCN,ilpd,0.7155,0.997,0.8331,0.646
GCN,iris,1.0,0.9375,0.9677,1.0
GCN,kr_vs_kp,0.858,0.9689,0.9101,0.9784
GCN,mammographic_mass,0.6545,0.9045,0.7594,0.822
GCN,mushroom,0.6142,0.8988,0.7298,0.9713
GCN,nursery,0.8339,0.9508,0.8885,0.9992
GCN,parkinsons,1.0,0.4474,0.6182,0.9264
GCN,raisin,0.8667,0.4062,0.5532,0.8944
GCN,statlog_australian_v2,0.7778,0.915,0.8408,0.9049
GCN,student-mat,0.0816,0.1739,0.1111,0.4618
GCN,wine,1.0,0.4583,0.6286,1.0
GCN,wine-red,0.06,0.4615,0.1062,0.5953
GCN,wine-white,0.2313,0.2241,0.2277,0.647
GCN,yeast,0.0044,1.0,0.0088,0.9972
GCN,zoo,0.875,0.5,0.6364,0.9808
GCN-LOF,adult,0.4259,0.5062,0.4626,0.8871
GCN-LOF,bank-full,0.3164,0.6185,0.4186,0.8492
GCN-LOF,banknote,1.0,0.4886,0.6565,0.9957
GCN-LOF,breast-cancer,0.7561,0.9394,0.8378,0.9942
GCN-LOF,car,0.9242,0.5701,0.7052,0.9918
GCN-LOF,chess,0.8662,0.8039,0.8339,0.9752
GCN-LOF,cmc,0.6164,0.5845,0.6,0.7182
GCN-LOF,credit,0.7935,0.7157,0.7526,0.9388
GCN-LOF,dermatology,1.0,0.8621,0.9259,0.9999
GCN-LOF,diabetes,0.9167,0.275,0.4231,0.976
GCN-LOF,german,0.25,0.575,0.3485,0.7161
GCN-LOF,glass,0.4815,0.8387,0.6118,0.8954
GCN-LOF,hcv_v2,0.9259,0.7576,0.8333,0.983
GCN-LOF,heart,0.687,0.8108,0.7438,0.817
GCN-LOF,horse,0.3571,0.6962,0.4721,0.573
GCN-LOF,ilpd,0.7287,0.952,0.8255,0.6864
GCN-LOF,iris,1.0,0.875,0.9333,1.0
GCN-LOF,kr_vs_kp,0.9287,0.9173,0.923,0.9752
GCN-LOF,mammographic_mass,0.7672,0.8146,0.7902,0.8633
GCN-LOF,mushroom,0.6249,0.7962,0.7002,0.9734
GCN-LOF,nursery,0.7208,0.8409,0.7762,0.9961
GCN-LOF,parkinsons,0.8182,0.4737,0.6,0.9277
GCN-LOF,raisin,0.8333,0.3125,0.4545,0.9069
GCN-LOF,statlog_australian_v2,0.8993,0.8464,0.8721,0.9209
GCN-LOF,student-mat,0.1111,0.2174,0.1471,0.4562
GCN-LOF,wine,1.0,0.4583,0.6286,1.0
GCN-LOF,wine-red,0.0769,0.0923,0.0839,0.6194
GCN-LOF,wine-white,0.2,0.3,0.24,0.6862
GCN-LOF,yeast,0.0045,1.0,0.009,0.9986
GCN-LOF,zoo,0.5909,0.9286,0.7222,0.9456
NIEOD,adult,0.0903,0.6111,0.1573,0.5461
NIEOD,bank-full,0.123,0.5469,0.2008,0.6094
NIEOD,banknote,0.2216,0.7455,0.3417,0.7518
NIEOD,breast-cancer,0.7885,1.0,0.8817,0.9953
NIEOD,car,0.0775,1.0,0.1439,0.5
NIEOD,chess,0.4008,0.7598,0.5248,0.8305
NIEOD,cmc,0.4515,0.9396,0.6099,0.6244
NIEOD,credit,0.319,0.9297,0.475,0.5652
NIEOD,dermatology,0.2108,0.9722,0.3465,0.3845
NIEOD,diabetes,0.2623,0.96,0.412,0.7268
NIEOD,german,0.1767,0.5,0.2611,0.5974
NIEOD,glass,0.2632,0.5128,0.3478,0.5716
NIEOD,hcv_v2,0.873,0.6707,0.7586,0.946
NIEOD,heart,0.5426,0.8705,0.6685,0.6759
NIEOD,horse,0.4362,0.8283,0.5714,0.6912
NIEOD,ilpd,0.7136,1.0,0.8328,0.5961
NIEOD,iris,0.8333,1.0,0.9091,0.979
NIEOD,kr_vs_kp,0.4843,0.983,0.6489,0.5774
NIEOD,mammographic_mass,0.4631,1.0,0.633,0.3908
NIEOD,mushroom,0.1324,0.7394,0.2245,0.5685
NIEOD,nursery,0.0255,1.0,0.0497,0.158
NIEOD,parkinsons,0.2667,0.9167,0.4131,0.497
NIEOD,raisin,0.8,0.5,0.6154,0.8706
NIEOD,statlog_australian_v2,0.5551,1.0,0.7139,0.3365
NIEOD,student-mat,0.14,0.4828,0.2171,0.68
NIEOD,wine,0.6,1.0,0.75,0.9287
NIEOD,wine-red,0.1067,0.2346,0.1467,0.6166
NIEOD,wine-white,0.1602,0.3058,0.2102,0.6261
NIEOD,yeast,0.4167,1.0,0.5882,0.9965
NIEOD,zoo,0.3333,0.4118,0.3684,0.542
NMIGOD,adult,0.3068,0.4789,0.374,0.8578
NMIGOD,bank-full,0.319,0.8397,0.4624,0.9081
NMIGOD,banknote,0.9818,0.6136,0.7552,0.9858
NMIGOD,breast-cancer,0.8378,0.9394,0.8857,0.9954
NMIGOD,car,0.9231,0.8972,0.91,0.9958
NMIGOD,chess,0.9091,0.915,0.9121,0.9853
NMIGOD,cmc,0.5456,0.7376,0.6272,0.6976
NMIGOD,credit,0.8161,0.6961,0.7513,0.9249
NMIGOD,dermatology,1.0,0.9828,0.9913,1.0
NMIGOD,diabetes,1.0,0.55,0.7097,0.9761
NMIGOD,german,0.201,0.4875,0.2847,0.6881
NMIGOD,glass,0.4386,0.8065,0.5682,0.8584
NMIGOD,hcv_v2,1.0,0.5758,0.7308,0.9979
NMIGOD,heart,0.7111,0.8649,0.7805,0.862
NMIGOD,horse,0.4255,0.7595,0.5455,0.7086
NMIGOD,ilpd,0.7252,0.967,0.8288,0.7171
NMIGOD,iris,1.0,0.9375,0.9677,1.0
NMIGOD,kr_vs_kp,0.8774,0.9959,0.9329,0.9936
NMIGOD,mammographic_mass,0.6885,0.8876,0.7755,0.843
NMIGOD,mushroom,0.6142,0.7493,0.675,0.9709
NMIGOD,nursery,0.68,0.9659,0.7981,0.9981
NMIGOD,parkinsons,0.6,0.5526,0.5753,0.8631
NMIGOD,raisin,0.8333,0.3125,0.4545,0.9282
NMIGOD,statlog_australian_v2,0.9081,0.8399,0.8727,0.9174
NMIGOD,student-mat,0.0793,0.5652,0.139,0.5419
NMIGOD,wine,1.0,0.4583,0.6286,1.0
NMIGOD,wine-red,0.0666,0.8308,0.1233,0.6818
NMIGOD,wine-white,0.1536,0.3793,0.2187,0.6635
NMIGOD,yeast,0.0044,1.0,0.0088,0.9983
NMIGOD,zoo,0.4062,0.9286,0.5652,0.9542
DASOD,adult,0.0889,0.5675,0.1537,0.5294
DASOD,bank-full,0.1223,0.6534,0.2061,0.6166
DASOD,banknote,0.4031,0.4727,0.4351,0.7516
DASOD,breast-cancer,0.8837,0.9268,0.9048,0.9961
DASOD,car,0.0775,1.0,0.1439,0.1364
DASOD,chess,0.3981,0.7755,0.5261,0.8351
DASOD,cmc,0.4395,0.9523,0.6014,0.6039
DASOD,credit,0.3201,0.9453,0.4783,0.586
DASOD,dermatology,0.2194,0.9444,0.356,0.4101
DASOD,diabetes,0.2749,0.94,0.4253,0.7344
DASOD,german,0.1753,0.51,0.2609,0.5967
DASOD,glass,0.2685,0.7436,0.3946,0.5948
DASOD,hcv_v2,0.8254,0.6341,0.7172,0.8671
DASOD,heart,0.4945,0.9784,0.657,0.6749
DASOD,horse,0.4783,0.7778,0.5923,0.7097
DASOD,ilpd,0.7136,1.0,0.8328,0.5974
DASOD,iris,0.8333,1.0,0.9091,0.971
DASOD,kr_vs_kp,0.4802,0.9948,0.6478,0.5781
DASOD,mammographic_mass,0.4635,1.0,0.6335,0.3401
DASOD,mushroom,0.2703,0.5469,0.3618,0.7616
DASOD,nursery,0.0256,0.9939,0.0498,0.4157
DASOD,parkinsons,0.2487,1.0,0.3983,0.3339
DASOD,raisin,0.8519,0.575,0.6866,0.8459
DASOD,statlog_australian_v2,0.5551,1.0,0.7139,0.4195
DASOD,student-mat,0.1328,0.5862,0.2166,0.6837
DASOD,wine,0.5172,1.0,0.6818,0.8736
DASOD,wine-red,0.0979,0.2346,0.1382,0.5715
DASOD,wine-white,0.1071,0.438,0.1722,0.5967
DASOD,yeast,0.0833,0.4,0.1379,0.8808
DASOD,zoo,0.4737,0.5294,0.5,0.6211
