,ADFNR,DASOD,GCN,GCN-LOF,NIEOD,NMIGOD
abalone,0.3641,0.2209,0.2326,0.2381,0.3538,0.1525
abl_full_diabetes,,,,,,0.7692
abl_full_glass,,,,,,0.5581
abl_full_iris,,,,,,0.9333
abl_full_wine,,,,,,0.5882
abl_noAda_diabetes,,,,,,0.7692
abl_noAda_glass,,,,,,0.486
abl_noAda_iris,,,,,,0.9677
abl_noAda_wine,,,,,,0.6667
adult,0.1466,0.1537,0.4062,0.4626,0.1573,0.374
arrhythmia,0.5278,0.5235,0.404,0.4035,0.519,0.3039
bank,0.29,0.3061,0.3585,0.3796,0.2866,0.2353
bank-full,0.2074,0.2061,0.3686,0.4186,0.2008,0.4624
banknote,0.3611,0.4351,0.5806,0.6565,0.3417,0.7552
breast-cancer,0.9213,0.9048,0.8649,0.8378,0.8817,0.8857
car,0.1439,0.1439,0.8708,0.7052,0.1439,0.91
chess,0.5264,0.5261,0.7761,0.8339,0.5248,0.9121
cmc,0.6072,0.6014,0.6078,0.6,0.6099,0.6272
covertype,,,0.188,0.2049,0.074,0.2125
credit,0.5102,0.4783,0.6897,0.7526,0.475,0.7513
diabetes,0.4367,0.4253,0.4815,0.4231,0.412,0.7097
german,0.2449,0.2609,0.2764,0.3485,0.2611,0.2847
glass,0.3471,0.3946,0.4957,0.6118,0.3478,0.5682
gs_diabetes,0.4367,0.4253,,,0.3871,
gs_glass,0.3471,0.3946,,,0.3478,
gs_iris,0.9524,0.9091,,,0.9091,
gs_wine,0.6667,0.6818,,,0.75,
heart,0.6513,0.657,0.7138,0.7438,0.6685,0.7805
hepatitis,0.5321,0.5867,0.4615,0.2286,0.5753,0.1429
horse,0.5775,0.5923,0.4979,0.4721,0.5714,0.5455
iris,0.9524,0.9091,0.9677,0.9333,0.9091,0.9677
mushroom,0.2326,,0.7298,0.7002,0.2245,0.675
nursery,0.0497,,0.8885,0.7762,0.0497,0.7981
parkinsons,0.4375,0.3983,0.6182,0.6,0.4131,0.5753
raisin,0.4857,0.6866,0.5532,0.4545,0.6154,0.4545
skin,0.4464,0.4501,0.9947,0.9797,0.501,
student-mat,0.2062,0.2166,0.1111,0.1471,0.2171,0.139
wine,0.6667,0.6818,0.6286,0.6286,0.75,0.6286
wine-red,0.1512,0.1382,0.1062,0.0839,0.1467,0.1233
wine-white,0.215,0.1722,0.2277,0.24,0.2102,0.2187
yeast,0.5882,0.1379,0.0088,0.009,0.5882,0.0088
zoo,0.3684,0.5,0.6364,0.7222,0.3684,0.5652
Average,0.4424,0.4554,0.5249,0.5199,0.4351,0.5542
