,ADFNR,ADFNR,ADFNR,ADFNR,DASOD,DASOD,DASOD,DASOD,GCN,GCN,GCN,GCN,GCN-LOF,GCN-LOF,GCN-LOF,GCN-LOF,NIEOD,NIEOD,NIEOD,NIEOD,NMIGOD,NMIGOD,NMIGOD,NMIGOD
,Precision,Recall,F1-Score,AUC,Precision,Recall,F1-Score,AUC,Precision,Recall,F1-Score,AUC,Precision,Recall,F1-Score,AUC,Precision,Recall,F1-Score,AUC,Precision,Recall,F1-Score,AUC
Dataset,,,,,,,,,,,,,,,,,,,,,,,,
adult,0.0791,1.0,0.1466,0.4851,0.0901,0.5179,0.1535,0.5281,0.3757,0.5012,0.4295,0.8866,0.0804,0.77,0.1457,0.5372,0.0917,0.4921,0.1547,0.5461,0.2034,0.7482,0.3199,0.8346
arrhythmia,0.4872,0.5758,0.5278,0.8138,0.4699,0.5909,0.5235,0.8121,0.1701,0.9259,0.2874,0.7231,0.125,0.0185,0.0323,0.564,0.4457,0.6212,0.519,0.8061,0.1447,0.8333,0.2466,0.6826
bank,0.2308,0.39,0.29,0.6725,0.2669,0.355,0.3047,0.7675,0.3554,0.3598,0.3576,0.8201,0.1317,0.1951,0.1572,0.5506,0.1946,0.47,0.2753,0.7095,0.2374,0.372,0.2898,0.7272
bank-full,0.1213,0.7148,0.2074,0.6052,0.1217,0.6498,0.2051,0.6157,0.2862,0.5969,0.3869,0.8268,0.1146,0.1211,0.1178,0.5344,0.1188,0.5018,0.1921,0.5936,0.3343,0.7841,0.4687,0.898
banknote,0.3679,0.3545,0.3611,0.7063,0.4031,0.4727,0.4351,0.7526,1.0,0.5778,0.7324,0.9836,0.1382,0.8889,0.2392,0.5453,0.2139,0.7545,0.3333,0.7355,0.9714,0.7556,0.85,0.9852
breast-cancer,0.8542,1.0,0.9213,0.9975,0.8837,0.9268,0.9048,0.9962,0.7619,0.9412,0.8421,0.9949,0.1143,0.1176,0.1159,0.4901,0.7885,1.0,0.8817,0.9945,0.825,0.9706,0.8919,0.9953
car,0.0775,1.0,0.1439,0.5,0.0775,1.0,0.1439,0.1436,0.8837,0.6909,0.7755,0.9885,0.1605,0.1182,0.1361,0.5018,0.0775,1.0,0.1439,0.5,0.7436,0.7909,0.7665,0.9858
chess,0.3848,0.8329,0.5264,0.8302,0.3981,0.7755,0.5261,0.8346,0.7239,0.8599,0.786,0.9685,0.1857,0.8344,0.3038,0.472,0.3704,0.9217,0.5284,0.8312,0.8631,0.9236,0.8923,0.9863
credit,0.3788,0.7812,0.5102,0.6736,0.3201,0.9453,0.4783,0.5847,0.681,0.7596,0.7182,0.9141,0.25,0.3558,0.2937,0.4491,0.3198,0.9219,0.4748,0.5652,0.8481,0.6442,0.7322,0.9362
diabetes,0.2793,1.0,0.4367,0.7385,0.2733,0.94,0.4234,0.7351,1.0,0.0488,0.093,0.9857,0.2059,0.3415,0.2569,0.5377,0.2682,0.96,0.4192,0.7324,1.0,0.2195,0.36,0.9815
german,0.1856,0.36,0.2449,0.5821,0.1753,0.51,0.2609,0.5967,0.1507,0.8415,0.2556,0.6447,0.1227,0.8049,0.2129,0.5241,0.1782,0.49,0.2613,0.5984,0.4194,0.1585,0.2301,0.6955
glass,0.2561,0.5385,0.3471,0.5895,0.2685,0.7436,0.3946,0.5949,0.6538,0.5312,0.5862,0.8952,0.3571,0.3125,0.3333,0.6041,0.2632,0.5128,0.3478,0.5705,0.4068,0.75,0.5275,0.7995
horse,0.4432,0.8283,0.5775,0.6948,0.4727,0.7879,0.5909,0.7073,0.4314,0.5432,0.4809,0.5866,0.3412,0.8889,0.4932,0.5343,0.4596,0.7475,0.5692,0.683,0.5263,0.6173,0.5682,0.7569
iris,0.9091,1.0,0.9524,0.9985,0.8333,1.0,0.9091,0.971,1.0,0.9375,0.9677,1.0,0.6154,1.0,0.7619,0.8857,0.8333,1.0,0.9091,0.981,1.0,0.9375,0.9677,1.0
mushroom,0.1375,0.7547,0.2326,0.5959,0.2472,0.7383,0.3704,0.763,0.608,0.8741,0.7171,0.9717,0.1026,0.2961,0.1524,0.5067,0.1197,0.831,0.2093,0.4973,0.6039,0.8484,0.7055,0.9686
nursery,0.0255,1.0,0.0497,0.5,0.096,0.1909,0.1278,0.7754,0.8211,0.9483,0.8801,0.9989,0.0406,0.107,0.0589,0.447,0.0255,1.0,0.0497,0.5,0.8323,0.9705,0.8961,0.9994
parkinsons,0.4375,0.4375,0.4375,0.5903,0.2487,1.0,0.3983,0.3333,0.76,0.4872,0.5938,0.9139,0.6111,0.5641,0.5867,0.8108,0.2733,0.9167,0.4211,0.5006,0.7143,0.5128,0.597,0.8669
raisin,0.5667,0.425,0.4857,0.8577,0.8519,0.575,0.6866,0.8466,0.875,0.4242,0.5714,0.8941,0.0865,0.697,0.1538,0.4573,0.6857,0.6,0.64,0.8692,0.8333,0.303,0.4444,0.918
student-mat,0.1471,0.3448,0.2062,0.643,0.1328,0.5862,0.2166,0.6837,0.1333,0.3333,0.1905,0.4719,0.0843,0.625,0.1485,0.4776,0.1522,0.4828,0.2314,0.6715,0.0797,0.8333,0.1455,0.5992
wine,0.5185,0.9333,0.6667,0.9005,0.551,0.9,0.6835,0.8749,1.0,0.12,0.2143,1.0,0.2019,0.84,0.3256,0.6038,0.6829,0.9333,0.7887,0.9431,1.0,0.16,0.2759,1.0
wine-red,0.0878,0.5432,0.1512,0.6352,0.0974,0.2346,0.1377,0.5715,0.0528,0.7761,0.0989,0.5091,0.0615,0.2239,0.0965,0.6243,0.1124,0.2469,0.1544,0.6129,0.1463,0.2687,0.1895,0.6343
wine-white,0.1731,0.2837,0.215,0.6469,0.1071,0.438,0.1721,0.597,0.1132,0.5623,0.1885,0.6568,0.0757,0.5152,0.132,0.5147,0.1342,0.4601,0.2078,0.6235,0.1412,0.4512,0.2151,0.65
yeast,0.4167,1.0,0.5882,0.9982,0.0833,0.4,0.1379,0.9044,0.0044,1.0,0.0087,0.9949,0.0043,1.0,0.0086,0.9952,0.3333,0.8,0.4706,0.9935,0.0043,1.0,0.0086,0.9987
zoo,0.3333,0.4118,0.3684,0.5343,0.4737,0.5294,0.5,0.6211,0.6087,1.0,0.7568,0.941,0.2381,0.3571,0.2857,0.5259,0.3889,0.4118,0.4,0.5427,0.3514,0.9286,0.5098,0.9224
