Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.98,0.8333,0.0758,0.1389,0.9907,5
12,1.95,0.75,0.1364,0.2308,0.9907,9
18,2.93,0.7222,0.197,0.3095,0.9907,13
24,3.9,0.625,0.2273,0.3333,0.9907,15
30,4.88,0.6667,0.303,0.4167,0.9907,20
36,5.85,0.7222,0.3939,0.5098,0.9907,26
43,6.99,0.7442,0.4848,0.5872,0.9907,32
49,7.97,0.7755,0.5758,0.6609,0.9907,38
55,8.94,0.7455,0.6212,0.6777,0.9907,41
61,9.92,0.7541,0.697,0.7244,0.9907,46
92,14.96,0.663,0.9242,0.7722,0.9907,61
123,20.0,0.5203,0.9697,0.6772,0.9907,64
153,24.88,0.4183,0.9697,0.5845,0.9907,64
184,29.92,0.3587,1.0,0.528,0.9907,66
215,34.96,0.307,1.0,0.4698,0.9907,66
246,40.0,0.2683,1.0,0.4231,0.9907,66
276,44.88,0.2391,1.0,0.386,0.9907,66
307,49.92,0.215,1.0,0.3539,0.9907,66
369,60.0,0.1789,1.0,0.3034,0.9907,66
430,69.92,0.1535,1.0,0.2661,0.9907,66
492,80.0,0.1341,1.0,0.2366,0.9907,66
553,89.92,0.1193,1.0,0.2132,0.9907,66
615,100.0,0.1073,1.0,0.1938,0.9907,66
