Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
5,0.86,1.0,0.015,0.0296,0.69,5
11,1.89,0.8182,0.027,0.0523,0.69,9
17,2.92,0.8235,0.042,0.08,0.69,14
23,3.95,0.8261,0.0571,0.1067,0.69,19
29,4.97,0.8276,0.0721,0.1326,0.69,24
34,5.83,0.8529,0.0871,0.158,0.69,29
40,6.86,0.825,0.0991,0.1769,0.69,33
46,7.89,0.8261,0.1141,0.2005,0.69,38
52,8.92,0.7885,0.1231,0.213,0.69,41
58,9.95,0.7931,0.1381,0.2353,0.69,46
87,14.92,0.7356,0.1922,0.3048,0.69,64
116,19.9,0.7155,0.2492,0.3697,0.69,83
145,24.87,0.7379,0.3213,0.4477,0.69,107
174,29.85,0.7299,0.3814,0.501,0.69,127
204,34.99,0.7206,0.4414,0.5475,0.69,147
233,39.97,0.6824,0.4775,0.5618,0.69,159
262,44.94,0.6718,0.5285,0.5916,0.69,176
291,49.91,0.6598,0.5766,0.6154,0.69,192
349,59.86,0.6533,0.6847,0.6686,0.69,228
408,69.98,0.6127,0.7508,0.6748,0.69,250
466,79.93,0.5987,0.8378,0.6984,0.69,279
524,89.88,0.5802,0.9129,0.7095,0.69,304
583,100.0,0.5712,1.0,0.7271,0.69,333
