Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.19247698783874512,0,0,unlabeled
1,0.3084184527397156,0,0,unlabeled
2,0.20769044756889343,0,0,unlabeled
3,0.27404308319091797,0,0,unlabeled
4,0.20625457167625427,0,0,unlabeled
5,0.143234521150589,0,0,unlabeled
6,0.3146514296531677,0,0,unlabeled
7,0.1642761081457138,0,0,unlabeled
8,0.04681939259171486,0,0,unlabeled
9,0.06726468354463577,0,0,unlabeled
10,0.12545190751552582,0,0,unlabeled
11,0.13036705553531647,0,0,unlabeled
12,0.05843337997794151,0,0,unlabeled
13,0.09241282194852829,0,0,unlabeled
14,0.12337131798267365,0,0,unlabeled
15,0.19527147710323334,0,0,val
16,0.052347514778375626,0,0,unlabeled
17,0.1392928510904312,0,0,unlabeled
18,0.1649942696094513,0,0,unlabeled
19,0.07009455561637878,0,0,unlabeled
20,0.12049337476491928,0,0,unlabeled
21,0.1583193689584732,0,0,unlabeled
22,0.03469157963991165,0,0,unlabeled
23,0.021367810666561127,0,0,val
24,0.03050978109240532,0,0,unlabeled
25,0.02808404713869095,0,0,unlabeled
26,0.04074794799089432,0,0,unlabeled
27,0.047178637236356735,0,0,unlabeled
28,0.035425521433353424,0,0,unlabeled
29,0.023279208689928055,0,0,train
30,0.03384263440966606,0,0,train
31,0.05210794135928154,0,0,unlabeled
32,0.15124472975730896,0,0,train
33,0.04982544481754303,0,0,unlabeled
34,0.12786799669265747,0,0,unlabeled
35,0.15772637724876404,0,0,unlabeled
36,0.31584829092025757,0,0,unlabeled
37,0.23018348217010498,0,0,unlabeled
38,0.0653354674577713,0,0,unlabeled
39,0.27985498309135437,0,0,unlabeled
40,0.04681939259171486,0,0,unlabeled
41,0.10273734480142593,0,0,unlabeled
42,0.052347514778375626,0,0,unlabeled
43,0.07981286197900772,0,0,train
44,0.23742586374282837,0,0,train
45,0.13817420601844788,0,0,unlabeled
46,0.4426974356174469,1,0,unlabeled
47,0.659188985824585,1,0,unlabeled
48,0.19699999690055847,0,0,unlabeled
49,0.18582819402217865,0,0,train
50,0.021367810666561127,0,0,unlabeled
51,0.14177295565605164,0,0,train
52,0.035425521433353424,0,0,unlabeled
53,0.023279208689928055,0,0,unlabeled
54,0.029166502878069878,0,0,unlabeled
55,0.579746425151825,1,0,unlabeled
56,0.17524027824401855,0,0,train
57,0.666126549243927,1,0,unlabeled
58,0.11283201724290848,0,0,unlabeled
59,0.09820137917995453,0,0,train
60,0.17496469616889954,0,0,unlabeled
61,0.11520564556121826,0,0,unlabeled
62,0.095913827419281,0,0,unlabeled
63,0.11541245877742767,0,0,unlabeled
64,0.10482555627822876,0,0,unlabeled
65,0.20730580389499664,0,0,val
66,0.08196362107992172,0,0,unlabeled
67,0.14034298062324524,0,0,val
68,0.10791469365358353,0,0,unlabeled
69,0.8100575804710388,1,0,val
70,0.05201135575771332,0,0,train
71,0.026383107528090477,0,0,unlabeled
72,0.04361781105399132,0,0,unlabeled
73,0.05714498832821846,0,0,train
74,0.05517186224460602,0,0,unlabeled
75,0.05736368149518967,0,0,unlabeled
76,0.08796802163124084,0,0,train
77,0.030515817925333977,0,0,unlabeled
78,0.06150728836655617,0,0,train
79,0.06776532530784607,0,0,unlabeled
80,0.7206071019172668,1,0,unlabeled
81,0.09222704917192459,0,0,unlabeled
82,0.7893260717391968,1,0,unlabeled
83,0.023633291944861412,0,0,unlabeled
84,0.014084978960454464,0,0,unlabeled
85,0.0212385393679142,0,0,unlabeled
86,0.025906745344400406,0,0,unlabeled
87,0.023559164255857468,0,0,unlabeled
88,0.025326138362288475,0,0,unlabeled
89,0.015355129726231098,0,0,unlabeled
90,0.024876302108168602,0,0,unlabeled
91,0.03362526372075081,0,0,unlabeled
92,0.025112781673669815,0,0,unlabeled
93,0.08173627406358719,0,0,unlabeled
94,0.029615700244903564,0,0,unlabeled
95,0.06719985604286194,0,0,unlabeled
96,0.08319488912820816,0,0,unlabeled
97,0.12313499301671982,0,0,unlabeled
98,0.09770962595939636,0,0,unlabeled
99,0.3749221861362457,1,0,train
100,0.3157293200492859,0,0,train
101,0.15564721822738647,0,0,train
102,0.24072261154651642,0,0,unlabeled
103,0.11525232344865799,0,0,unlabeled
104,0.2601466178894043,0,0,unlabeled
105,0.05663440749049187,0,0,unlabeled
106,0.09569012373685837,0,0,unlabeled
107,0.08979731798171997,0,0,val
108,0.039475828409194946,0,0,unlabeled
109,0.22982724010944366,0,0,train
110,0.2809344530105591,0,0,unlabeled
111,0.231195330619812,0,0,unlabeled
