Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.955897867679596,1,1,unlabeled
1,0.7631955742835999,1,1,unlabeled
2,0.8725078701972961,1,1,train
3,0.04738753288984299,0,0,unlabeled
4,0.08247840404510498,0,0,unlabeled
5,0.031032459810376167,0,0,unlabeled
6,0.9361428022384644,1,1,unlabeled
7,0.02386930026113987,0,0,train
8,0.9293688535690308,1,1,unlabeled
9,0.03390372544527054,0,1,unlabeled
10,0.04307680204510689,0,0,unlabeled
11,0.05542097985744476,0,0,train
12,0.059101834893226624,0,1,unlabeled
13,0.03099415823817253,0,0,unlabeled
14,0.9638242721557617,1,1,unlabeled
15,0.950354814529419,1,0,val
16,0.07662376761436462,0,0,unlabeled
17,0.04057770222425461,0,0,train
18,0.9135589599609375,1,1,unlabeled
19,0.031231220811605453,0,0,unlabeled
20,0.8098951578140259,1,1,unlabeled
21,0.13866421580314636,0,1,train
22,0.9465191960334778,1,1,unlabeled
23,0.46203237771987915,1,1,unlabeled
24,0.9368932843208313,1,1,unlabeled
25,0.03908304497599602,0,0,unlabeled
26,0.9151317477226257,1,1,train
27,0.05765039846301079,0,0,unlabeled
28,0.034634411334991455,0,0,unlabeled
29,0.08549889922142029,0,0,unlabeled
30,0.06656596064567566,0,0,unlabeled
31,0.7431352734565735,1,1,unlabeled
32,0.21013900637626648,1,1,unlabeled
33,0.04792088642716408,0,0,unlabeled
34,0.8827615976333618,1,1,unlabeled
35,0.8943939208984375,1,1,unlabeled
36,0.21126778423786163,1,0,train
37,0.04979149252176285,0,0,unlabeled
38,0.0290918480604887,0,0,unlabeled
39,0.02352309599518776,0,0,unlabeled
40,0.3188723623752594,1,0,unlabeled
41,0.933462381362915,1,1,unlabeled
42,0.24862472712993622,1,0,unlabeled
43,0.1255015730857849,0,1,unlabeled
44,0.8293671011924744,1,1,val
45,0.033307209610939026,0,0,unlabeled
46,0.7470507025718689,1,1,unlabeled
47,0.9295646548271179,1,0,train
48,0.6993746757507324,1,1,unlabeled
49,0.021685300394892693,0,0,val
50,0.9607993960380554,1,1,unlabeled
51,0.9266073703765869,1,1,unlabeled
52,0.9185054898262024,1,1,unlabeled
53,0.9259161949157715,1,1,unlabeled
54,0.8163641691207886,1,1,unlabeled
55,0.09377152472734451,0,0,unlabeled
56,0.09372299164533615,0,0,unlabeled
57,0.8178089261054993,1,1,unlabeled
58,0.24857674539089203,1,0,unlabeled
59,0.10074114799499512,0,0,unlabeled
60,0.9655444622039795,1,1,unlabeled
61,0.8039209246635437,1,1,train
62,0.13190576434135437,0,0,unlabeled
63,0.8492185473442078,1,1,unlabeled
64,0.09393149614334106,0,0,unlabeled
65,0.03908996656537056,0,0,unlabeled
66,0.8500999808311462,1,1,unlabeled
67,0.39786598086357117,1,1,unlabeled
68,0.8983973264694214,1,1,unlabeled
69,0.05420621111989021,0,0,train
70,0.4028250575065613,1,1,unlabeled
71,0.5429485440254211,1,1,unlabeled
72,0.9376436471939087,1,1,unlabeled
73,0.06777194142341614,0,0,unlabeled
74,0.026975320652127266,0,0,unlabeled
75,0.9398917555809021,1,1,unlabeled
76,0.9613391757011414,1,1,val
77,0.940197229385376,1,1,unlabeled
78,0.7666783332824707,1,1,unlabeled
79,0.034537069499492645,0,0,unlabeled
80,0.06356552988290787,0,0,unlabeled
81,0.7736914753913879,1,1,unlabeled
82,0.8181129693984985,1,1,unlabeled
83,0.9523023962974548,1,1,unlabeled
84,0.9387176632881165,1,1,unlabeled
85,0.9526482224464417,1,0,unlabeled
86,0.700967013835907,1,1,unlabeled
87,0.03825777769088745,0,0,unlabeled
88,0.9565395712852478,1,0,unlabeled
89,0.9038149118423462,1,1,unlabeled
90,0.9474072456359863,1,1,unlabeled
91,0.9474921822547913,1,1,unlabeled
92,0.9457914233207703,1,1,unlabeled
93,0.0777234137058258,0,0,unlabeled
94,0.6795414686203003,1,1,unlabeled
95,0.9335843324661255,1,0,val
96,0.8087384700775146,1,1,unlabeled
97,0.9181088209152222,1,1,train
98,0.7218972444534302,1,1,val
99,0.037164296954870224,0,0,unlabeled
100,0.7902408838272095,1,1,unlabeled
101,0.47415515780448914,1,0,unlabeled
102,0.2618171274662018,1,0,train
103,0.08137759566307068,0,0,train
104,0.8561480641365051,1,1,unlabeled
105,0.06827400624752045,0,0,unlabeled
106,0.05426358804106712,0,0,unlabeled
107,0.9379577040672302,1,1,train
108,0.06631241738796234,0,0,unlabeled
109,0.9567721486091614,1,1,unlabeled
110,0.930327832698822,1,1,train
111,0.9596469402313232,1,1,unlabeled
112,0.0679081603884697,0,1,unlabeled
113,0.04608624801039696,0,0,unlabeled
114,0.9521655440330505,1,1,val
115,0.10469416528940201,0,0,unlabeled
116,0.02093161642551422,0,0,unlabeled
117,0.06780202686786652,0,0,unlabeled
118,0.05349903181195259,0,0,unlabeled
119,0.0538567416369915,0,0,unlabeled
120,0.07546347379684448,0,0,unlabeled
121,0.9065675139427185,1,1,unlabeled
122,0.8454239964485168,1,1,unlabeled
123,0.022258471697568893,0,0,train
124,0.02348403073847294,0,0,unlabeled
125,0.8682112693786621,1,1,unlabeled
126,0.02242136374115944,0,0,unlabeled
127,0.938088595867157,1,1,train
128,0.1658300757408142,0,0,train
129,0.13107094168663025,0,0,unlabeled
130,0.04162763059139252,0,0,unlabeled
131,0.7200608849525452,1,1,unlabeled
132,0.9156033992767334,1,1,unlabeled
133,0.6561996340751648,1,1,unlabeled
134,0.602132260799408,1,1,train
135,0.7897621393203735,1,1,train
136,0.896867573261261,1,1,unlabeled
137,0.0742654874920845,0,0,train
138,0.1104588583111763,0,0,unlabeled
139,0.05276744067668915,0,0,unlabeled
140,0.245042085647583,1,1,unlabeled
141,0.7827982306480408,1,1,unlabeled
142,0.9340804219245911,1,1,train
143,0.019322067499160767,0,0,unlabeled
144,0.5938485264778137,1,1,train
145,0.02044643461704254,0,0,unlabeled
146,0.033578384667634964,0,0,unlabeled
147,0.7081394195556641,1,1,train
148,0.3416149914264679,1,1,unlabeled
149,0.029360570013523102,0,0,unlabeled
150,0.947847843170166,1,0,unlabeled
151,0.3373655676841736,1,1,unlabeled
152,0.9355117082595825,1,1,train
153,0.8292736411094666,1,1,unlabeled
154,0.09053968638181686,0,0,unlabeled
155,0.9175951480865479,1,0,unlabeled
156,0.9328277111053467,1,0,val
157,0.9397655725479126,1,1,unlabeled
158,0.06790609657764435,0,0,unlabeled
159,0.9525448083877563,1,1,unlabeled
160,0.9435855746269226,1,1,unlabeled
161,0.9064368605613708,1,1,unlabeled
162,0.10184327512979507,0,0,train
163,0.08732666820287704,0,0,unlabeled
164,0.4323597252368927,1,1,val
165,0.9461889863014221,1,1,unlabeled
166,0.9533460140228271,1,1,unlabeled
167,0.6011854410171509,1,0,train
168,0.9336401224136353,1,1,train
169,0.3373779058456421,1,1,unlabeled
170,0.11819557100534439,0,1,unlabeled
171,0.03994506597518921,0,0,train
172,0.9292868971824646,1,1,unlabeled
173,0.25684770941734314,1,1,unlabeled
174,0.024114880710840225,0,0,unlabeled
175,0.23429180681705475,1,1,unlabeled
176,0.8719163537025452,1,1,unlabeled
177,0.8913539052009583,1,1,train
178,0.05039147287607193,0,0,unlabeled
179,0.16511502861976624,0,0,unlabeled
180,0.9224720001220703,1,1,unlabeled
181,0.0746382549405098,0,1,unlabeled
182,0.02782381884753704,0,0,train
183,0.22661471366882324,1,0,unlabeled
184,0.2329239547252655,1,0,train
185,0.9190499186515808,1,1,unlabeled
186,0.21982711553573608,1,1,unlabeled
187,0.9359602928161621,1,1,unlabeled
188,0.8773916363716125,1,1,unlabeled
189,0.7247121334075928,1,1,unlabeled
190,0.9546037316322327,1,1,unlabeled
191,0.07572926580905914,0,0,unlabeled
192,0.15814097225666046,0,1,unlabeled
193,0.951786994934082,1,1,unlabeled
194,0.3194608986377716,1,1,unlabeled
195,0.07061099261045456,0,0,unlabeled
196,0.03241158276796341,0,0,unlabeled
197,0.8262578248977661,1,1,val
198,0.8003072738647461,1,1,unlabeled
199,0.9336451292037964,1,1,unlabeled
200,0.024786416441202164,0,0,unlabeled
201,0.7708357572555542,1,1,unlabeled
202,0.16973848640918732,0,0,unlabeled
203,0.08800004422664642,0,1,unlabeled
204,0.02064322680234909,0,0,train
205,0.09798277914524078,0,0,unlabeled
206,0.9157038331031799,1,1,unlabeled
207,0.676325798034668,1,1,unlabeled
208,0.9015732407569885,1,1,unlabeled
209,0.9405033588409424,1,1,unlabeled
210,0.06590434163808823,0,0,unlabeled
211,0.32545268535614014,1,0,train
212,0.9332504868507385,1,1,unlabeled
213,0.10892581939697266,0,1,unlabeled
214,0.8675878643989563,1,1,train
215,0.023909347131848335,0,0,unlabeled
216,0.9520222544670105,1,1,unlabeled
217,0.9490827918052673,1,1,unlabeled
218,0.935360848903656,1,1,unlabeled
219,0.08488252013921738,0,0,unlabeled
220,0.03234655782580376,0,0,unlabeled
221,0.9341496825218201,1,1,unlabeled
222,0.1005905270576477,0,0,unlabeled
223,0.9180304408073425,1,1,unlabeled
224,0.5024272799491882,1,1,unlabeled
225,0.3481612801551819,1,1,unlabeled
226,0.9241980910301208,1,1,unlabeled
227,0.35076186060905457,1,0,unlabeled
228,0.029648374766111374,0,0,unlabeled
229,0.02574797347187996,0,0,unlabeled
230,0.03698009252548218,0,0,train
231,0.8962321281433105,1,1,unlabeled
232,0.1477571576833725,0,1,train
233,0.016035497188568115,0,0,unlabeled
234,0.12461785227060318,0,0,unlabeled
235,0.020944667980074883,0,0,train
236,0.782490074634552,1,1,train
237,0.845635712146759,1,1,val
238,0.9610770344734192,1,1,train
239,0.20770877599716187,1,0,unlabeled
240,0.06731665879487991,0,0,unlabeled
241,0.1118573397397995,0,0,unlabeled
242,0.0800471305847168,0,0,unlabeled
243,0.42695263028144836,1,1,unlabeled
244,0.9512761235237122,1,1,val
245,0.8600507378578186,1,1,train
246,0.8401987552642822,1,1,unlabeled
247,0.10041579604148865,0,0,unlabeled
248,0.08661409467458725,0,0,unlabeled
249,0.9493305087089539,1,0,val
250,0.9544299840927124,1,1,unlabeled
251,0.9332773685455322,1,1,unlabeled
252,0.03221673518419266,0,0,unlabeled
253,0.9392772316932678,1,1,unlabeled
254,0.0811699852347374,0,0,unlabeled
255,0.09097610414028168,0,0,unlabeled
256,0.9490165710449219,1,0,unlabeled
257,0.3910646140575409,1,0,unlabeled
258,0.9412031769752502,1,1,unlabeled
259,0.9443996548652649,1,1,unlabeled
260,0.852418839931488,1,1,unlabeled
261,0.2634630501270294,1,0,unlabeled
262,0.8592268228530884,1,1,unlabeled
263,0.1419661045074463,0,0,train
264,0.08476333320140839,0,0,val
265,0.7816590070724487,1,1,train
266,0.8669798970222473,1,1,unlabeled
267,0.07930991798639297,0,0,unlabeled
268,0.9619941115379333,1,1,train
269,0.9571112394332886,1,1,val
270,0.77837073802948,1,1,unlabeled
271,0.2994312644004822,1,0,unlabeled
272,0.9308673739433289,1,1,unlabeled
273,0.6080113053321838,1,0,unlabeled
274,0.07927206158638,0,0,unlabeled
275,0.9489020109176636,1,1,unlabeled
276,0.1973293125629425,1,1,unlabeled
277,0.29840123653411865,1,1,unlabeled
278,0.05388264358043671,0,0,train
279,0.08082051575183868,0,0,unlabeled
280,0.9629597067832947,1,1,unlabeled
281,0.9012904763221741,1,1,unlabeled
282,0.2833349108695984,1,1,unlabeled
283,0.962826669216156,1,1,unlabeled
284,0.9384264349937439,1,1,val
285,0.07180949300527573,0,0,train
286,0.02660166099667549,0,0,unlabeled
287,0.2882148027420044,1,0,unlabeled
288,0.8990391492843628,1,1,unlabeled
289,0.8459596037864685,1,1,unlabeled
290,0.2178625911474228,1,1,unlabeled
291,0.8903680443763733,1,1,unlabeled
292,0.08772668987512589,0,0,unlabeled
293,0.09563026577234268,0,0,unlabeled
