Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.87,0.6667,0.0131,0.0256,0.91,4
13,1.88,0.6923,0.0294,0.0564,0.91,9
20,2.9,0.7,0.0458,0.0859,0.91,14
27,3.91,0.7037,0.0621,0.1141,0.91,19
34,4.93,0.7647,0.085,0.1529,0.91,26
41,5.94,0.7561,0.1013,0.1787,0.91,31
48,6.96,0.7292,0.1144,0.1977,0.91,35
55,7.97,0.6727,0.1209,0.205,0.91,37
62,8.99,0.6774,0.1373,0.2283,0.91,42
69,10.0,0.6957,0.1569,0.256,0.91,48
103,14.93,0.7087,0.2386,0.357,0.91,73
138,20.0,0.6812,0.3072,0.4234,0.91,94
172,24.93,0.7093,0.3987,0.5105,0.91,122
207,30.0,0.744,0.5033,0.6004,0.91,154
241,34.93,0.7469,0.5882,0.6581,0.91,180
276,40.0,0.7355,0.6634,0.6976,0.91,203
310,44.93,0.7452,0.7549,0.75,0.91,231
345,50.0,0.7246,0.817,0.768,0.91,250
414,60.0,0.6643,0.8987,0.7639,0.91,275
483,70.0,0.5983,0.9444,0.7326,0.91,289
552,80.0,0.538,0.9706,0.6923,0.91,297
621,90.0,0.4863,0.9869,0.6516,0.91,302
690,100.0,0.4435,1.0,0.6145,0.91,306
