Dataset,ADFNR,DASOD,GCN,GCN-LOF,NMIGOD,NIEOD
adult,1.0,0.5179,0.5012,0.77,0.7482,0.4921
arrhythmia,0.5758,0.5909,0.9259,0.0185,0.8333,0.6212
bank,0.39,0.355,0.3598,0.1951,0.372,0.47
bank-full,0.7148,0.6498,0.5969,0.1211,0.7841,0.5018
banknote,0.3545,0.4727,0.5778,0.8889,0.7556,0.7545
breast-cancer,1.0,0.9268,0.9412,0.1176,0.9706,1.0
car,1.0,1.0,0.6909,0.1182,0.7909,1.0
chess,0.8329,0.7755,0.8599,0.8344,0.9236,0.9217
credit,0.7812,0.9453,0.7596,0.3558,0.6442,0.9219
diabetes,1.0,0.94,0.0488,0.3415,0.2195,0.96
german,0.36,0.51,0.8415,0.8049,0.1585,0.49
glass,0.5385,0.7436,0.5312,0.3125,0.75,0.5128
horse,0.8283,0.7879,0.5432,0.8889,0.6173,0.7475
iris,1.0,1.0,0.9375,1.0,0.9375,1.0
mushroom,0.7547,0.7383,0.8741,0.2961,0.8484,0.831
nursery,1.0,0.1909,0.9483,0.107,0.9705,1.0
parkinsons,0.4375,1.0,0.4872,0.5641,0.5128,0.9167
raisin,0.425,0.575,0.4242,0.697,0.303,0.6
student-mat,0.3448,0.5862,0.3333,0.625,0.8333,0.4828
wine,0.9333,0.9,0.12,0.84,0.16,0.9333
wine-red,0.5432,0.2346,0.7761,0.2239,0.2687,0.2469
wine-white,0.2837,0.438,0.5623,0.5152,0.4512,0.4601
yeast,1.0,0.4,1.0,1.0,1.0,0.8
zoo,0.4118,0.5294,1.0,0.3571,0.9286,0.4118
Average,0.6879,0.6587,0.6517,0.4997,0.6576,0.7115
